Frances,Portugues
partie,papel
histoire,história
chercher,procurar
seulement,só
police,polícia
pensais,pensei
aide,ajuda
demande,exigem
genre,amável
mois,mês
frère,irmão
laisser,deixar
car,Porque
mettre,colocar
aucun,algum
laisse,deixe em paz
eux,eles
ville,Cidade
chaque,cada
parlé,falar
arrivé,venha
devrait,devemos
bébé,bebê
longtemps,muito tempo
heures,Tempo
vont,estão indo
pendant,no decorrer
revoir,Encontrar novamente
aucune,algum
place,Praça
parle,falar
compris,Entendido
savais,sabia
étaient,eram
attention,Aviso
voici,aqui está
pourrais,poderia
affaire,caso
donner,dar
type,tipo
leurs,deles
donné,dado
train,Comboio
corps,corpo
endroit,"Lugar, colocar"
yeux,olhos
façon,caminho
écoute,ouvir
dont,das quais
trouve,encontrar
premier,primeiro
perdu,perdido
main,mão
première,primeiro
côté,lado
pouvoir,potência
vieux,velho
sois,estar
tiens,levar
matin,manhã
tellement,tal
enfant,criança
point,apontar
venu,veio
suite,contínuo
pardon,Desculpe
venez,venha
devant,antes de
vers,em direção
minutes,minutos
demandé,exigem
chambre,quarto
mis,por
belle,lindo
droit,lei
aimerais,gostaria de
aujourd'hui,hoje
mari,marido
cause,causa
enfin,finalmente
espère,esperança
eau,agua
attendez,aguarde
parti,deixou
nouvelle,Novo
boulot,gig.
arrêter,Pare
dirait,diria
terre,terra
compte,conta
donne,dado
loin,distante
croire,acreditar
chérie,caro
gros,gordo
plutôt,em vez de
aura,terá
filles,garotas
jouer,jogador
bureau,escritório
voir ,ver
même ,mesmo
sa ,ela
oh ,Oh
maintenant ,agora
tous ,todo
peut ,posso
deux ,deles
ces ,Essa
êtes ,está
allez ,ir
ta ,seu
autre ,de outros
